symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,26-09-2025,254.1,257.6,253.78,255.46,46076300,1.37,0.53522,255.235
AAPL,25-09-2025,253.21,257.17,251.71,256.87,55202100,3.66,1.45,254.74
AAPL,24-09-2025,255.22,255.74,251.04,252.31,42303710,-2.91,-1.14,253.5775
AAPL,23-09-2025,255.88,257.34,253.58,254.43,60275200,-1.44,-0.56667,255.3075
AAPL,22-09-2025,248.3,256.64,248.12,256.08,105517416,7.78,3.13,252.285
AAPL,19-09-2025,241.23,246.3,240.21,245.5,163741314,4.28,1.77,243.31
AAPL,18-09-2025,239.97,241.2,236.65,237.88,44249600,-2.09,-0.87094,238.925
AAPL,17-09-2025,238.97,240.1,237.73,238.99,46508017,0.02,0.00836925,238.9475
AAPL,16-09-2025,237.18,241.22,236.32,238.15,63421100,0.975,0.40897,238.2175
AAPL,15-09-2025,237,238.19,235.03,236.7,42699524,-0.3,-0.12658,236.73
AAPL,12-09-2025,229.22,234.51,229.02,234.07,55824216,4.85,2.12,231.705
AAPL,11-09-2025,226.88,230.45,226.65,230.03,50208600,3.16,1.39,228.5025
AAPL,10-09-2025,232.19,232.42,225.95,226.79,83440810,-5.4,-2.33,229.3375
AAPL,09-09-2025,237,238.78,233.36,234.35,66313918,-2.65,-1.12,235.8725
AAPL,08-09-2025,239.3,240.15,236.34,237.88,48999500,-1.42,-0.5934,238.4175
AAPL,05-09-2025,240,241.32,238.49,239.69,54870400,-0.305,-0.12917,239.875
AAPL,04-09-2025,238.45,239.9,236.74,239.78,47549429,1.33,0.55777,238.7175
AAPL,03-09-2025,237.21,238.85,234.36,238.47,66427835,1.26,0.53117,237.2225
AAPL,02-09-2025,229.25,230.85,226.97,229.72,44075638,0.47,0.20502,229.1975
AAPL,29-08-2025,232.51,233.38,231.37,232.14,39418437,-0.37,-0.15913,232.35
AAPL,28-08-2025,230.82,233.41,229.34,232.56,38074700,1.74,0.75383,231.5325
AAPL,27-08-2025,228.61,230.9,228.26,230.49,31259513,1.88,0.82236,229.565
AAPL,26-08-2025,226.87,229.49,224.69,229.31,54575107,2.44,1.08,227.59
AAPL,25-08-2025,226.48,229.3,226.23,227.16,30983133,0.68,0.30025,227.2925
AAPL,22-08-2025,226.17,229.09,225.41,227.76,42477811,1.59,0.70301,227.1075
AAPL,21-08-2025,226.27,226.52,223.78,224.9,30621249,-1.37,-0.60547,225.3675
AAPL,20-08-2025,229.98,230.47,225.77,226.01,42263900,-3.97,-1.73,228.0575
AAPL,19-08-2025,231.28,232.87,229.35,230.56,39402600,-0.715,-0.31131,231.015
AAPL,18-08-2025,231.7,233.12,230.11,230.89,37476200,-0.81,-0.34959,231.455
AAPL,15-08-2025,234,234.28,229.34,231.59,56038700,-2.41,-1.03,232.3025
AAPL,14-08-2025,234.06,235.12,230.85,232.78,51916300,-1.28,-0.54687,233.2025
AAPL,13-08-2025,231.07,235,230.43,233.33,69878546,2.26,0.97806,232.4575
AAPL,12-08-2025,228.01,230.8,227.07,229.65,55672301,1.65,0.71927,228.8825
AAPL,11-08-2025,227.92,229.56,224.76,227.18,61806132,-0.74,-0.32468,227.355
AAPL,08-08-2025,220.83,231,219.25,229.35,113854000,8.52,3.86,225.1075
AAPL,07-08-2025,218.88,220.85,216.58,220.03,90224834,1.16,0.5254,219.085
AAPL,06-08-2025,205.63,215.38,205.59,213.25,108483103,7.62,3.71,209.9625
AAPL,05-08-2025,203.4,205.34,202.16,202.92,44155100,-0.48,-0.23599,203.455
AAPL,04-08-2025,204.51,207.88,201.68,203.35,75109300,-1.16,-0.56721,204.355
AAPL,01-08-2025,210.87,213.58,201.5,202.38,104434500,-8.49,-4.03,207.0825
AAPL,31-07-2025,208.49,209.84,207.16,207.57,80698431,-0.92,-0.44127,208.265
AAPL,30-07-2025,211.9,212.39,207.72,209.05,45512514,-2.84,-1.34,210.265
AAPL,29-07-2025,214.18,214.81,210.82,211.27,51411723,-2.91,-1.36,212.77
AAPL,28-07-2025,214.03,214.85,213.06,214.05,37858017,0.02,0.00934448,213.9975
AAPL,25-07-2025,214.7,215.24,213.4,213.88,40268800,-0.82,-0.38193,214.305
AAPL,24-07-2025,213.9,215.69,213.53,213.76,46022620,-0.14,-0.06545115,214.22
AAPL,23-07-2025,215,215.15,212.41,214.15,46989301,-0.85,-0.39535,214.1775
AAPL,22-07-2025,213.14,214.95,212.23,214.4,46404100,1.26,0.59116,213.68
AAPL,21-07-2025,212.1,215.78,211.63,212.48,51377434,0.38,0.17916,212.9975
AAPL,18-07-2025,210.87,211.79,209.7,211.18,48974600,0.31,0.14701,210.885
AAPL,17-07-2025,210.57,211.8,209.59,210.02,48068141,-0.55,-0.2612,210.495
AAPL,16-07-2025,210.3,212.4,208.64,210.16,47490532,-0.135,-0.06657156,210.375
AAPL,15-07-2025,209.22,211.89,208.92,209.11,42296339,-0.11,-0.05257624,209.785
AAPL,14-07-2025,209.93,210.91,207.54,208.62,38840111,-1.31,-0.62402,209.25
AAPL,11-07-2025,210.57,212.13,209.86,211.16,39765812,0.595,0.28019,210.93
AAPL,10-07-2025,210.51,213.48,210.03,212.41,44443635,1.91,0.90257,211.6075
AAPL,09-07-2025,209.53,211.33,207.22,211.14,48749400,1.61,0.76839,209.805
AAPL,08-07-2025,210.1,211.43,208.45,210.01,42848928,-0.09,-0.04283674,209.9975
AAPL,07-07-2025,212.68,216.23,208.8,209.95,50229000,-2.73,-1.28,211.915
AAPL,03-07-2025,212.15,214.65,211.81,213.55,34955836,1.41,0.65991,213.04
AAPL,02-07-2025,208.91,213.34,208.14,212.44,67941811,3.53,1.69,210.7075
AAPL,01-07-2025,206.67,210.19,206.14,207.82,78788900,1.16,0.55644,207.705
AAPL,30-06-2025,202.01,207.39,199.26,205.17,91912816,3.16,1.56,203.4575
AAPL,27-06-2025,201.89,203.22,200,201.08,73188600,-0.81,-0.40121,201.5475
AAPL,26-06-2025,201.43,202.64,199.46,201,50799121,-0.43,-0.21347,201.1325
AAPL,25-06-2025,201.45,203.67,200.62,201.56,39525730,0.11,0.05460412,201.825
AAPL,24-06-2025,202.59,203.44,200.2,200.3,54064033,-2.29,-1.13,201.6325
AAPL,23-06-2025,201.63,202.3,198.96,201.5,55814300,-0.125,-0.06447453,201.0975
AAPL,20-06-2025,198.24,201.7,196.86,201,96813542,2.76,1.39,199.45
AAPL,18-06-2025,195.94,197.57,195.07,196.58,45394700,0.64,0.32663,196.29
AAPL,17-06-2025,197.2,198.39,195.21,195.64,38856200,-1.56,-0.79108,196.61
AAPL,16-06-2025,197.3,198.69,196.56,198.42,43020700,1.12,0.56766,197.7425
AAPL,13-06-2025,199.73,200.37,195.7,196.45,51447349,-3.28,-1.64,198.0625
AAPL,12-06-2025,199.08,199.68,197.36,199.2,43904635,0.12,0.06027728,198.83
AAPL,11-06-2025,203.5,204.5,198.41,198.78,60989900,-4.72,-2.32,201.2975
AAPL,10-06-2025,200.6,204.35,200.57,202.67,54672608,2.07,1.03,202.0475
AAPL,09-06-2025,204.39,206,200.02,201.45,72862600,-2.94,-1.44,202.965
AAPL,06-06-2025,203,205.7,202.05,203.92,46607700,0.92,0.4532,203.6675
AAPL,05-06-2025,203.5,204.75,200.15,200.63,55221235,-2.87,-1.41,202.2575
AAPL,04-06-2025,202.91,206.24,202.1,202.82,43604000,-0.09,-0.04435464,203.5175
AAPL,03-06-2025,201.35,203.77,200.96,203.27,46381600,1.92,0.95356,202.3375
